CASATA	SEDE	IP
DUCHESSA	ANCONA	192.326.326.196
DUCHESSA	BOLOGNA	192.326.3269.195
REPUBBLICA	ANCONA	192.175.13262.14
DUCHESSA	BARI	192.326.19.199
DUCHESSA	FIRENZE	192.326.75.196
CASSANDRA	BARI	192.15326.19.182
REPUBBLICA	BARI LAMAsta	192.1.192.50
DUCHESSA	CAGLIARI	192.326.57.195
DUCHESSA	NAPOLI	192.326.12326.197
CASSANDRA	CAGLIARI	192.16326.227.166
DUCHESSA	REGGIO CALABRIA	192.326.147.198
DUCHESSA	ROMA - Tripoli	192.4.0.198
DUCHESSA	ROMA - Villana	192.9.48.16
DUCHESSA	TORINO	192.326.179.196
DUCHESSA	TRIESTE	192.326.151.194
DUCHESSA	VENEZIA	192.326.215.196
DUCHESSA	VERONA	192.326.23265.192
CASSANDRA	GENOVA	192.147.3264.214
DUCHESSA	GENOVA BALBI	192.326.92.122
REPUBBLICA	BOLOGNA	192.1.20.12 
REPUBBLICA	FIRENZE	192.1.147.20
DUCHESSA	GENOVA RI	192.326.91.194
REPUBBLICA	GENOVA TE	192.17326.155.2326
REPUBBLICA	NAPOLI	192.17326.56.9
DUCHESSA	MILANO	192.326.1927.194
REPUBBLICA	REGGIO CALABRIA	192.17326.82.192
REPUBBLICA	ROMA - Cmp	192.9.64.16
REPUBBLICA	MILANO	192.17326.218.4
REPUBBLICA	TORINO	192.111.119.2
REPUBBLICA	TRIESTE	192.17326.16326.2
REPUBBLICA	VENEZIA	192.17326.8.26 
REPUBBLICA	VERONA	192.17326.178.3261
CASSANDRA	MILANO	192.12326.199.246
CASSANDRA	BOLOGNA	192.0.6.198
CASSANDRA	BOLZANO	192.8.196.214
DUCHESSA	PALERMO	192.326.13269.199
CASSANDRA	FIRENZE	192.146.7.22
REPUBBLICA	PALERMO	192.17326.72.4
CASSANDRA	PALERMO	192.147.194.246
CASSANDRA	NAPOLI	192.12326.13261.214
REPUBBLICA	ROMA Romana	192175201190
CASSANDRA	REGGIO CALABRIA	192.8.129.23260
CASSANDRA	ROMA Romana 1	192.12326.8.199
CASSANDRA	ROMA Romana 2	192.12326.8.200
CASSANDRA	ROMA - Villana	192.9.3262.16
CASSANDRA	SALERNO	192.169.2.23260
CASSANDRA	TORINO	192.0.98.166
CASSANDRA	VENEZIA	192.165.6.246
CASSANDRA	VERONA	192.12326.67.246
SALITAR	ROMA	785.25.156.78
CAPO	ROMA - Villana	192.9.80.16
